gtin,honest_sign_name
04670332744147,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE GREY"" СЕРЫЙ S"
04670332744178,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE GREY"" СЕРЫЙ XL"
04670332744208,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE RED"" КРАСНЫЙ L"
04670332744192,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE RED"" КРАСНЫЙ M"
04670332744185,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE RED"" КРАСНЫЙ S"
04670332744215,"ЗИП-ХУДИ ""DIAMOND COLOR ZIP HOODIE RED"" КРАСНЫЙ XL"
04670332744291,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЕРНЫЙ L"
04670332742761,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ L"
04670332744284,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЕРНЫЙ M"
04670332742754,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ M"
04670332744277,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЕРНЫЙ S"
04670332742747,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ S"
04603785039010,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ S"
04670332744307,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЕРНЫЙ XL"
04670332742778,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ XL"
04670332747469,"ЗИП-ХУДИ ""DIAMOND ZIP HOODIE"" ЧЁРНЫЙ XS"
04670332741320,"ЗИП-ХУДИ ""FULL-ZIP HMLS V2 GREY"" СЕРЫЙ S"
04670332741337,"ЗИП-ХУДИ ""FULL-ZIP HMLS V2 GREY"" СЕРЫЙ XL"
04670332742037,"ЗИП-ХУДИ ""Full-Zip Hoodie Blank"" ЧЕРНЫЙ M"
